Title,Info,Rating,Rating People,Comment
控方证人,"导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...
                            1957 / 美国 / 剧情 犯罪 悬疑 惊悚
                        


9.6

664328人评价


比利·怀德满分作品。",9.6,664328人评价,比利·怀德满分作品。
大话西游之大圣娶亲,"导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        


9.2

1652654人评价


一生所爱。",9.2,1652654人评价,一生所爱。
熔炉,"导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...
                            2011 / 韩国 / 剧情
                        


9.3

1004422人评价


我们一路奋战不是为了改变世界，而是为了不让世界改变我们。",9.3,1004422人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
触不可及,"导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...
                            2011 / 法国 / 剧情 喜剧
                        


9.3

1239022人评价


满满温情的高雅喜剧。",9.3,1239022人评价,满满温情的高雅喜剧。
教父,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...
                            1972 / 美国 / 剧情 犯罪
                        


9.3

1060035人评价


千万不要记恨你的对手，这样会让你失去理智。",9.3,1060035人评价,千万不要记恨你的对手，这样会让你失去理智。
寻梦环游记,"导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...
                            2017 / 美国 / 喜剧 动画 奇幻 音乐
                        


9.1

1878352人评价


死亡不是真的逝去，遗忘才是永恒的消亡。",9.1,1878352人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
当幸福来敲门,"导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...
                            2006 / 美国 / 剧情 传记 家庭
                        


9.2

1634659人评价


平民励志片。",9.2,1634659人评价,平民励志片。 
末代皇帝,"导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...
                            1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史
                        


9.3

983302人评价


“不要跟我比惨，我比你更惨”再适合这部电影不过了。",9.3,983302人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
龙猫,"导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...
                            1988 / 日本 / 动画 奇幻 冒险
                        


9.2

1365046人评价


人人心中都有个龙猫，童年就永远不会消失。",9.2,1365046人评价,人人心中都有个龙猫，童年就永远不会消失。
哈利·波特与魔法石,"导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint
                            2001 / 美国 英国 / 奇幻 冒险
                        


9.2

1353792人评价


童话世界的开端。",9.2,1353792人评价,童话世界的开端。
